"time_period";"geo_id";"geographic_level";"age";"age_class";"sex";"obs_value";"pop_obs_value";"pop_age_obs_value";"ratio"
"2021";"410";"Nommern";"Y_GE100";"100 years or over";"Female";"0";"1446";"0";"0.0"
"2021";"1001";"Beaufort";"Y_GE85";"85 years or over";"Total";"34";"3004";"34";"1.1"
"2021";"1106";"Manternach";"Y40T44";"From 40 to 44 years";"Female";"76";"2232";"173";"43.9"
"2021";"402";"Bissen";"Y70T74";"From 70 to 74 years";"Female";"56";"3315";"107";"52.3"
"2021";"1105";"Junglinster";"Y35T39";"From 35 to 39 years";"Male";"303";"8405";"626";"48.4"
"2021";"110";"Steinfort";"Y70T74";"From 70 to 74 years";"Total";"257";"5717";"257";"4.5"
"2021";"804";"Goesdorf";"Y_GE100";"100 years or over";"Male";"0";"1630";"0";"0.0"
"2021";"502";"Wincrange";"Y50T64";"From 50 to 64 years";"Female";"487";"4671";"1053";"46.2"
"2021";"410";"Nommern";"Y55T59";"From 55 to 59 years";"Female";"55";"1446";"114";"48.2"
"2021";"102";"Garnich";"Y35T39";"From 35 to 39 years";"Total";"167";"2255";"167";"7.4"
"2021";"606";"Feulen";"Y_LT5";"Less than 5 years";"Total";"137";"2302";"137";"6.0"
"2021";"1205";"Remich";"Y60T64";"From 60 to 64 years";"Male";"130";"3819";"269";"48.3"
"2021";"403";"Helperknapp";"Y_GE85";"85 years or over";"Female";"28";"4664";"42";"66.7"
"2021";"1204";"Mondorf-les-Bains";"Y90T94";"From 90 to 94 years";"Male";"16";"5403";"65";"24.6"
"2021";"213";"Sanem";"Y85T89";"From 85 to 89 years";"Total";"245";"17964";"245";"1.4"
"2021";"805";"Kiischpelt";"Y_LT5";"Less than 5 years";"Male";"35";"1226";"59";"59.3"
"2021";"401";"Colmar-Berg";"Y5T9";"From 5 to 9 years";"Male";"72";"2271";"141";"51.1"
"2021";"8";"Canton Wiltz";"Y90T94";"From 90 to 94 years";"Female";"64";"18562";"93";"68.8"
"2021";"604";"Erpeldange-sur-Sûre";"Y80T84";"From 80 to 84 years";"Female";"38";"2435";"60";"63.3"
"2021";"805";"Kiischpelt";"_T";"Total";"Female";"611";"1226";"1226";"49.8"
"2021";"901";"Tandel";"Y50T54";"From 50 to 54 years";"Male";"69";"2207";"163";"42.3"
"2021";"306";"Sandweiler";"Y60T64";"From 60 to 64 years";"Female";"105";"3716";"211";"49.8"
"2021";"1206";"Schengen";"Y_LT15";"Less than 15 years";"Total";"817";"5075";"817";"16.1"
"2021";"603";"Diekirch";"Y50T54";"From 50 to 54 years";"Female";"258";"7143";"528";"48.9"
"2021";"609";"Schieren";"Y15T29";"From 15 to 29 years";"Male";"212";"2113";"421";"50.4"
"2021";"1101";"Betzdorf";"Y_GE85";"85 years or over";"Female";"29";"4126";"44";"65.9"
"2021";"1207";"Stadtbredimus";"_T";"Total";"Male";"978";"1971";"1971";"49.6"
"2021";"409";"Mersch";"Y_LT5";"Less than 5 years";"Female";"253";"10167";"587";"43.1"
"2021";"1204";"Mondorf-les-Bains";"Y40T44";"From 40 to 44 years";"Female";"161";"5403";"329";"48.9"
"2021";"806";"Lac de la Haute-Sûre";"Y35T39";"From 35 to 39 years";"Male";"79";"2160";"128";"61.7"
